Account,2024-04-05,2024-04-08,2024-05-03,2024-04-17,2024-05-10,2024-05-15,2024-05-08,2024-05-09,2024-05-20,Total Follows
stripe,3.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,15.0
muasIr0PuD,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,15.0
zksync,4.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0
SpearbitDAO,5.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,15.0
McKinsey,3.0,4.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,15.0
UCBerkeley,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,15.0
GUy99qMi2O,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,15.0
zkSync,3.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,15.0
TheSpartanGroup,4.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,15.0
interndao,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,15.0
pudgypenguins,4.0,6.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,15.0
BodoggosNFT,5.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0
DriftProtocol,2.0,5.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,15.0
microsoft,3.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0
allnick,5.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0
ParallelTCG,4.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0
RISCZero,4.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0
worldcoin,2.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0
Facebook,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0
fiveoutofnine,4.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0
CampbellJAustin,5.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0
PleasrDAO,5.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,14.0
Columbia_biz,5.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0
sequoia,2.0,1.0,7.0,2.0,0.0,0.0,1.0,0.0,1.0,14.0
rodarmor,1.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0
paxos,5.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0
GwartyGwart,4.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,14.0
ionet,3.0,2.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,14.0
lifiprotocol,3.0,4.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,14.0
umbraresearch,4.0,5.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,14.0
NewsyJohnson,2.0,4.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,14.0
placeholdervc,4.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,14.0
CNBC,3.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0
banklesshq,5.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0
Ftk96oSf45,4.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0
offchainlabs,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,14.0
AIWayfinder,2.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,14.0
Bloomberg,2.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,14.0
shayonsengupta,6.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0
intuitio_,2.0,6.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,14.0
based16z,3.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,14.0
gauntlet_xyz,4.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,14.0
0x_Osprey,4.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,14.0
knowerofmarkets,4.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0
EigenLayer,3.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0
InitCapital_,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0
coinlist,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,14.0
SmokeyTheBera,2.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,14.0
nansen_ai,2.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,14.0
ciamac,4.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0
goldmansachs,4.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0
Nascentxyz,4.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,14.0
synthetix_io,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,14.0
pleasrDAO,4.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0
weremeow,5.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,14.0
BanklessVC,3.0,5.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,14.0
ton_blockchain,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0
0xlght,4.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0
developer_dao,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0
CoinDesk,4.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,14.0
jarxiao,4.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0
zama_fhe,4.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,14.0
theempirepod,3.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,13.0
aws,3.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
YahooFinance,3.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,13.0
scale_ai,3.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
1l9ekCAT6z,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0
Qy87VuaizA,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0
2cPqL2xpuh,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0
baincapcrypto,3.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0
eG0CZL5IXH,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0
ambient_finance,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,13.0
VeloData,3.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
GearboxProtocol,3.0,3.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,13.0
Wharton,3.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0
tryramp,4.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
postmates,4.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0
dYdX,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0
galaxyhq,3.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,13.0
_SEAL_Org,4.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,13.0
nickwh8te,3.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0
iotex_io,3.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0
phantom,4.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
Lekker_Cap,3.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0
OpanyRichard,2.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0
BobbyThakkar,4.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
CoinList,2.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,13.0
drip_haus,4.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
safe,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
Paradigm,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0
thielfellowship,4.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,13.0
Polymarket,1.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,3.0,13.0
IamTalin,3.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
chiefaioffice,3.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
